 ,ring_area,synapse_number,mean_synapse_area,mean_synapse_intensity,,number_of_empty_rings
467,123.086,15,0.111,61.374,,0
468,122.419,10,0.305,28.434,,0
469,118.035,16,0.153,48.484,,0
470,115.763,25,0.14,36.925,,0
471,154.113,9,0.101,47.514,,0
472,114.392,13,0.164,44.154,,0
473,94.79,22,0.1,70.537,,0
474,114.364,20,0.104,56.996,,0
475,108.459,18,0.111,57.086,,0
476,93.57,12,0.087,74.897,,0
477,133.966,17,0.154,34.451,,0
478,91.993,12,0.09,56.513,,0
479,90.406,13,0.098,60.097,,0
480,79.469,18,0.14,44.31,,0
481,119.678,15,0.147,48.374,,0
482,100.902,17,0.122,59.2,,0
483,88.331,12,0.139,42.644,,0
484,101.916,5,0.098,55.057,,0
485,146.781,9,0.152,37.887,,0
486,105.295,13,0.131,43.921,,0
487,83.412,10,0.112,67.512,,0
488,92.8,13,0.111,51.576,,0
489,131.788,11,0.118,46.362,,0
490,86.904,15,0.122,41.276,,0
491,99.935,14,0.137,43.043,,0
492,144.631,10,0.099,53.122,,0
493,129.779,18,0.099,57.772,,0
494,94.696,2,0.108,29.913,,0
495,107.577,10,0.097,49.676,,0
496,108.506,8,0.095,49.176,,0
497,84.144,4,0.084,56.405,,0
498,76.765,7,0.098,82.11,,0
499,92.528,7,0.134,39.186,,0
500,74.766,6,0.116,39,,0
