 ,ring_area,synapse_number,mean_synapse_area,mean_synapse_intensity,ring_depth
348,128.484,13,0.147,18.350,483.626
349,121.433,20,0.180,18.667,216.936
350,90.378,17,0.114,28.069,291.368
351,133.638,11,0.189,15.658,15.057
352,109.633,15,0.127,17.626,473.010
353,104.976,26,0.117,31.463,421.291
354,97.794,24,0.130,22.110,439.582
355,103.305,34,0.141,24.638,405.903
356,110.234,25,0.126,27.153,390.081
357,99.982,21,0.123,22.601,443.921
358,94.527,22,0.124,21.237,338.395
359,85.543,37,0.144,30.007,410.305
360,129.695,29,0.114,25.678,309.625
361,111.445,1,0.094,32.091,492.608
362,129.347,21,0.118,27.289,246.813
363,106.741,21,0.164,22.974,402.767
364,114.636,4,0.293,11.760,7.886
365,106.751,20,0.115,22.961,441.869
366,98.489,31,0.121,30.439,326.433
367,98.536,7,0.098,22.034,46.599
368,107.577,9,0.103,22.889,82.446
369,105.371,27,0.168,18.941,378.942
370,108.422,12,0.091,28.559,112.397
371,98.433,25,0.118,28.207,329.831
372,123.902,14,0.106,24.988,135.664
373,77.479,12,0.139,18.590,183.988
374,130.690,19,0.128,15.004,471.654
375,87.120,14,0.117,31.917,177.195
376,93.495,14,0.133,23.990,418.031
377,121.631,15,0.145,17.774,447.808
378,95.288,22,0.148,20.101,238.574
379,91.270,9,0.167,15.494,11.970
380,109.267,13,0.133,14.808,142.736
381,87.317,15,0.117,18.995,31.658
382,101.362,31,0.105,36.102,338.083
383,93.626,17,0.137,19.822,431.033
384,109.764,25,0.130,27.769,382.686
385,134.586,7,0.091,20.243,482.928
386,102.798,16,0.138,19.075,398.583
387,88.482,21,0.121,23.242,260.570
388,116.786,22,0.139,24.946,343.724
389,113.519,14,0.099,26.644,194.669
390,86.191,5,0.120,22.625,13.593
391,83.130,13,0.144,18.473,163.396
392,96.086,23,0.137,23.620,376.723
393,138.078,33,0.150,21.349,412.984
394,97.222,16,0.124,25.244,440.126
395,91.533,20,0.133,20.117,431.211
396,98.611,16,0.291,11.648,155.982
397,107.933,7,0.126,20.096,108.108
398,121.734,19,0.169,19.412,346.027
399,116.411,28,0.105,21.741,295.082
400,113.285,9,0.139,17.462,132.652
401,107.211,24,0.124,31.103,325.751
402,98.132,21,0.131,21.700,449.456
403,109.041,6,0.130,15.415,118.587
404,79.666,23,0.136,20.089,262.089
405,141.383,43,0.129,25.311,424.041
406,117.256,32,0.117,28.801,269.679
407,92.622,11,0.108,76.597,3.119
408,119.208,30,0.146,24.455,402.679
409,148.330,30,0.115,23.070,454.036
410,133.459,28,0.120,19.220,286.645
411,88.735,21,0.128,19.653,389.565
412,115.622,22,0.102,25.219,161.227
413,93.880,12,0.129,59.803,2.897
414,156.873,22,0.187,14.538,121.836
415,110.346,18,0.120,16.650,239.035
416,93.429,20,0.133,27.400,354.455
417,86.266,2,0.099,11.286,84.946
418,111.125,15,0.162,15.330,453.114
419,124.212,32,0.110,25.669,268.014
420,99.541,21,0.130,23.894,413.417
421,106.704,17,0.107,55.030,1.602
422,83.853,15,0.135,17.945,189.120
423,99.503,25,0.169,23.139,398.151
424,106.863,26,0.122,23.285,313.033
425,83.741,8,0.133,20.407,112.033
426,100.432,30,0.118,29.384,379.113
427,119.274,13,0.111,23.100,13.241
428,115.801,31,0.134,23.185,425.875
429,99.137,17,0.192,17.591,326.137
430,91.289,9,0.101,21.683,108.022
431,97.410,26,0.112,25.806,369.806
432,97.015,32,0.117,26.985,318.805
433,123.189,20,0.114,22.936,178.943
434,111.332,25,0.128,28.936,427.485
435,151.034,11,0.135,20.274,464.633
436,113.087,24,0.108,22.605,162.972
437,105.802,23,0.124,23.107,452.452
438,96.987,26,0.184,20.990,402.602
439,88.453,27,0.140,22.410,411.206
440,109.004,17,0.107,27.005,189.362
441,142.350,30,0.142,23.884,282.750
442,87.177,17,0.106,23.249,144.771
443,86.182,13,0.142,14.868,137.486
444,104.695,23,0.118,27.595,361.814
445,108.309,15,0.100,25.405,171.408
446,92.763,15,0.121,23.689,418.221
447,96.621,3,0.106,17.051,111.177
448,110.356,29,0.147,22.711,453.499
449,110.816,25,0.132,19.087,198.474
450,90.491,29,0.108,76.544,0.083
451,117.275,23,0.162,23.056,296.521
452,105.755,25,0.116,27.690,424.136
453,132.323,26,0.163,21.310,352.000
