 ,ring_area,synapse_number,mean_synapse_area,mean_synapse_intensity,ring_depth,number_of_empty_rings
306,130.042,15,0.135,23.397,246.769,0
307,111.604,22,0.111,21.789,413.633,0
308,118.692,26,0.123,34.193,137.939,0
309,102.019,24,0.141,29.335,337.005,0
310,115.932,15,0.120,29.548,346.176,0
311,90.556,30,0.127,22.689,397.068,0
312,136.895,17,0.144,21.751,167.400,0
313,104.563,12,0.133,15.741,212.749,0
314,100.939,31,0.118,33.067,97.099,0
315,115.988,8,0.122,15.631,320.876,0
316,94.819,28,0.160,21.804,104.184,0
317,110.562,22,0.140,22.776,121.298,0
318,125.630,19,0.127,33.607,265.566,0
319,105.324,13,0.167,36.552,417.922,0
320,92.537,13,0.132,33.811,370.022,0
321,97.081,21,0.101,34.642,378.222,0
322,115.350,19,0.145,21.974,291.642,0
323,138.360,13,0.176,18.773,141.052,0
324,91.580,26,0.113,28.208,112.734,0
325,107.229,22,0.141,26.496,172.825,0
326,100.217,20,0.115,21.935,407.803,0
327,131.854,26,0.203,22.909,126.626,0
328,145.082,13,0.184,22.043,315.460,0
329,110.900,13,0.145,17.871,115.247,0
330,89.927,19,0.130,20.604,8.868,0
331,141.918,26,0.103,34.969,93.359,0
332,114.167,12,0.149,22.418,374.867,0
333,92.378,17,0.257,21.534,419.486,0
334,121.884,22,0.114,28.000,339.321,0
335,111.585,22,0.127,33.086,173.216,0
336,131.544,24,0.137,27.637,255.823,0
337,130.549,18,0.112,22.055,291.065,0
338,127.226,28,0.126,32.534,194.807,0
339,123.564,10,0.119,18.169,384.986,0
340,103.052,9,0.119,18.763,154.643,0
341,81.938,13,0.129,29.245,207.658,0
342,86.801,9,0.148,18.086,372.287,0
343,84.623,20,0.149,22.725,28.070,0
344,110.234,21,0.144,25.293,219.800,0
345,127.273,23,0.117,31.671,257.399,0
346,118.457,20,0.115,21.145,350.846,0
347,118.157,20,0.123,22.726,132.667,0
348,110.299,7,0.184,12.399,226.512,0
349,79.469,26,0.144,32.631,71.033,0
350,121.236,22,0.140,39.391,355.944,0
351,99.034,22,0.127,29.670,393.216,0
352,120.307,17,0.166,20.818,296.856,0
353,97.701,13,0.167,16.091,183.511,0
354,84.661,34,0.164,26.679,120.672,0
355,103.690,15,0.137,18.190,332.363,0
356,102.442,23,0.147,31.243,103.537,0
357,90.359,2,0.080,16.647,321.593,0
358,92.631,18,0.122,25.804,54.547,0
359,130.615,16,0.129,18.785,134.612,0
360,111.388,28,0.114,37.896,160.883,0
361,109.971,28,0.147,27.456,379.291,0
362,151.785,31,0.129,25.022,305.649,0
363,112.290,14,0.099,32.513,398.997,0
364,106.103,14,0.166,24.590,107.333,0
365,99.569,18,0.107,20.382,187.826,0
366,110.421,16,0.109,24.589,178.113,0
367,114.120,27,0.153,25.029,87.922,0
368,122.438,17,0.154,18.329,251.667,0
369,118.955,12,0.171,18.855,110.812,0
370,87.684,14,0.089,23.985,401.740,0
371,95.879,31,0.134,25.304,67.101,0
372,125.076,17,0.176,24.182,214.164,0
373,128.446,35,0.127,24.383,289.295,0
374,131.882,18,0.197,30.307,251.992,0
375,127.648,10,0.111,20.412,312.849,0
376,114.458,33,0.122,35.745,1.230,0
377,102.132,31,0.129,21.497,348.138,0
378,110.187,23,0.149,21.781,233.767,0
379,111.219,5,0.101,20.657,130.209,0
380,107.877,26,0.154,20.610,79.332,0
381,102.263,20,0.157,19.309,299.560,0
382,119.922,35,0.112,36.216,109.350,0
383,108.384,26,0.142,22.901,375.902,0
384,122.889,50,0.108,38.214,155.467,0
385,110.459,33,0.106,34.645,340.042,0
386,115.829,26,0.187,18.894,352.730,0
387,113.022,34,0.120,28.070,126.572,0
388,122.119,6,0.117,19.760,216.981,0
389,81.628,22,0.171,23.897,2.349,0
390,107.182,15,0.155,21.819,186.438,0
391,128.277,30,0.141,28.493,100.944,0
392,124.991,18,0.121,22.261,127.784,0
393,100.592,28,0.107,31.625,2.075,0
394,129.554,25,0.115,27.180,298.051,0
395,111.698,29,0.117,31.070,196.158,0
396,112.712,25,0.116,25.279,331.179,0
397,128.127,5,0.090,24.417,153.572,0
398,110.731,30,0.127,22.390,82.804,0
399,113.491,28,0.125,29.083,163.673,0
400,97.381,30,0.118,20.969,356.269,0
401,125.423,34,0.121,26.556,214.170,0
402,117.012,23,0.145,17.766,240.709,0
403,143.242,36,0.143,20.628,3.877,0
404,117.218,8,0.093,27.396,189.172,0
405,114.308,49,0.112,38.113,97.689,0
406,115.510,35,0.103,45.882,319.676,0
407,107.661,12,0.109,25.803,332.423,0
408,109.323,5,0.096,16.210,108.772,0
409,93.166,6,0.214,15.985,370.223,0
410,107.943,19,0.105,29.705,386.058,0
411,92.331,23,0.125,32.807,358.387,0
412,88.125,15,0.105,17.792,286.148,0
413,102.667,8,0.161,23.762,91.153,0
414,120.354,28,0.138,21.565,113.467,0
415,117.659,42,0.108,37.462,175.944,0
416,124.625,27,0.153,24.735,292.534,0
